[21-Jul-2026 13:20:38 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:20:52 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:21:19 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:22:09 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:22:43 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:22:59 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:23:25 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:24:41 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:25:27 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:25:59 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:26:40 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:27:18 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:27:58 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:28:37 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:29:24 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:29:29 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:29:56 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:30:45 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:31:09 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:31:35 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:32:05 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:32:42 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:33:18 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:33:59 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:34:46 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:35:19 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:35:58 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:37:19 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:37:51 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:38:12 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:38:16 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:39:20 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:39:59 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:40:43 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:41:17 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:42:00 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:42:37 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[21-Jul-2026 13:43:00 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[22-Jul-2026 23:33:59 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[22-Jul-2026 23:34:04 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[23-Jul-2026 19:34:11 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[23-Jul-2026 22:17:53 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[01-Aug-2026 14:26:41 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:35:17 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:35:17 Asia/Tehran] Admin database unavailable.
[03-Aug-2026 22:35:17 Asia/Tehran] Unhandled application error: RuntimeException
[03-Aug-2026 22:35:41 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:35:41 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 22:35:48 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:35:48 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 22:35:53 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:35:53 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 22:37:04 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:41:05 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:41:57 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:43:19 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:43:45 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:49:09 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
